time,ax,ay,az,atotal
1.342787027,2.2,-7.84,-5.45,9.79
1.35276413,2.24,-7.74,-5.57,9.79
1.362621069,2.29,-7.62,-5.68,9.77
1.372869015,2.33,-7.51,-5.8,9.77
1.382612228,2.39,-7.39,-5.9,9.75
1.393446922,2.43,-7.26,-6.02,9.73
1.402144909,2.48,-7.14,-6.13,9.73
1.412333012,2.52,-7,-6.26,9.72
1.423017025,2.54,-6.86,-6.35,9.68
1.432322979,2.57,-6.71,-6.47,9.66
1.442629099,2.59,-6.56,-6.56,9.63
1.452511072,2.62,-6.39,-6.66,9.59
1.462445021,2.62,-6.22,-6.8,9.58
1.472919941,2.62,-6.05,-6.91,9.55
1.482377052,2.62,-5.87,-7.01,9.51
1.494029045,2.61,-5.67,-7.14,9.48
1.50189209,2.59,-5.47,-7.27,9.45
1.512612104,2.55,-5.27,-7.36,9.4
1.522853136,2.52,-5.06,-7.44,9.34
1.532397032,2.48,-4.84,-7.53,9.28
1.542320251,2.44,-4.6,-7.62,9.22
1.552105904,2.38,-4.36,-7.7,9.16
1.562269211,2.3,-4.1,-7.78,9.09
1.573355198,2.22,-3.84,-7.81,8.98
1.581887245,2.14,-3.56,-7.87,8.89
1.594848156,2.07,-3.21,-7.84,8.72
1.601522923,2.11,-0.99,-9.09,9.38
1.611827135,-13.33,20.22,13.38,27.66
1.623710155,-50.84,9.16,70.02,87.01
1.632307053,-7.94,-44.26,68.49,81.93
1.642323971,6.98,-15.61,66.57,68.73
1.651891232,2.42,3.61,45.73,45.93
1.662118912,0.4,3.22,7.27,7.96
1.67373991,-0.7,1.9,-13.29,13.44
1.681957245,0.25,0.01,-10.86,10.86
1.694190979,0.94,-0.8,-10.01,10.08
1.70124507,1.02,-0.89,-10.11,10.2
1.712116241,1.18,-1.04,-10.07,10.19
1.723388195,1.31,-1.21,-9.98,10.13
1.731842041,1.43,-1.36,-9.87,10.06
1.74190402,1.55,-1.51,-9.77,10
1.751540184,1.67,-1.65,-9.68,9.96
1.76174593,1.78,-1.81,-9.6,9.92
1.773162127,1.91,-1.95,-9.53,9.91
1.781442165,2.04,-2.1,-9.47,9.91
1.795704126,2.15,-2.24,-9.41,9.9
1.800934076,2.27,-2.4,-9.34,9.9
1.811594009,2.38,-2.54,-9.27,9.9
1.822403908,2.49,-2.68,-9.19,9.89
1.831444025,2.61,-2.82,-9.11,9.88
1.84151125,2.72,-2.97,-9.01,9.86
1.851037025,2.83,-3.11,-8.93,9.87
1.861083031,2.93,-3.25,-8.84,9.86
1.871051073,3.04,-3.39,-8.74,9.85
1.88123107,3.15,-3.53,-8.66,9.86
1.895426035,3.24,-3.67,-8.54,9.84
1.900582075,3.35,-3.81,-8.45,9.85
1.910779953,3.45,-3.94,-8.35,9.85
1.921271086,3.54,-4.08,-8.25,9.86
1.93128705,3.63,-4.21,-8.16,9.87
1.941642046,3.73,-4.34,-8.04,9.86
1.950812101,3.81,-4.47,-7.93,9.86
1.961270094,3.89,-4.58,-7.85,9.88
1.971159935,3.76,-3.92,-8.75,10.29
1.981153965,3.04,-0.88,-12.48,12.87
1.997225046,-0.23,9.57,-17.97,20.36
2.000616074,-4.36,17.92,-16.21,24.55
2.010950089,-4.17,6.38,-6.82,10.22
2.020905972,-5.31,-5.5,35.74,36.54
2.031317234,2.45,-13.9,70.02,71.42
2.04172802,11.94,-23.82,60.26,65.88
2.050807953,5.92,-17.97,27.19,33.12
2.060869217,1.08,-9.04,4.7,10.24
2.070830107,-0.36,-3.2,-5.16,6.08
2.080732107,-0.4,-0.04,-9.54,9.54
2.096332073,-0.08,1.04,-10.2,10.25
2.100213051,0.26,1.16,-10.11,10.17
2.110114098,0.46,1.07,-10.11,10.17
2.120344162,0.54,1.04,-10.25,10.31
2.130318165,0.5,1.13,-10.6,10.67
2.141644001,0.33,1.3,-10.89,10.97
2.150298119,0.12,1.66,-10.68,10.8
2.160118103,-0.06,1.64,-9.65,9.78
2.170442104,-0.06,0.9,-7.18,7.23
