time,ax,ay,az,atotal
0.010347127914428711,0.11,-0.01,0.09,0.14
0.011788129806518555,-0.09,0.09,-0.18,0.22
0.024019241333007812,0.01,-0.05,-0.31,0.31
0.030669212341308594,0.02,-0.11,-0.34,0.35
0.04113006591796875,-0.16,-0.15,-0.29,0.36
0.0521550178527832,-0.3,-0.13,-0.14,0.35
0.061025142669677734,-0.2,-0.09,0.02,0.22
0.07108211517333984,-0.06,-0.08,0.19,0.21
0.08115291595458984,0.07,-0.03,0.35,0.35
0.091156005859375,0.14,-0.03,0.4,0.42
0.10224723815917969,0.13,0.08,0.41,0.43
0.1114811897277832,0.24,0.28,0.37,0.52
0.12654590606689453,0.41,0.37,0.29,0.62
0.13059210777282715,0.54,0.4,0.23,0.71
0.14092803001403809,0.63,0.38,0.08,0.74
0.15074396133422852,0.54,0.22,-0.19,0.61
0.16110610961914062,0.3,0.06,-0.41,0.51
0.17094206809997559,0.05,-0.01,-0.44,0.44
0.18108510971069336,-0.09,-0.13,-0.45,0.47
0.19144606590270996,-0.11,-0.26,-0.44,0.52
0.2018132209777832,-0.04,-0.3,-0.36,0.47
0.21099209785461426,0.1,-0.24,-0.25,0.36
0.22722816467285156,0.28,-0.15,-0.17,0.36
0.23026609420776367,0.24,-0.07,-0.02,0.25
0.24097108840942383,0.0,-0.05,0.3,0.3
0.25028204917907715,0.0,-0.07,0.68,0.68
0.26103925704956055,0.23,-0.02,0.85,0.88
0.27112603187561035,0.29,0.04,0.94,0.98
0.2810361385345459,0.26,0.12,0.62,0.68
0.2904551029205322,0.34,0.23,0.31,0.51
0.3007059097290039,0.37,0.4,0.09,0.55
0.31071996688842773,0.43,0.47,-0.11,0.64
0.3251981735229492,0.34,0.34,-0.13,0.49
0.3298990726470947,0.16,0.12,-0.02,0.2
0.34029197692871094,0.0,-0.03,0.21,0.21
0.3503742218017578,-0.1,-0.14,0.48,0.5
0.3606390953063965,-0.11,-0.29,0.53,0.61
0.3711581230163574,-0.14,-0.43,0.29,0.53
0.38033103942871094,-0.23,-0.46,0.12,0.52
0.3905351161956787,-0.31,-0.41,0.03,0.51
0.4004020690917969,-0.26,-0.33,-0.19,0.46
0.4105050563812256,-0.13,-0.3,-0.5,0.59
0.4280362129211426,-0.02,-0.32,-0.79,0.85
0.4296259880065918,0.08,-0.28,-1.04,1.08
0.44008803367614746,0.01,-0.24,-1.23,1.25
0.45008206367492676,-0.09,-0.22,-1.38,1.4
0.46010494232177734,-0.13,-0.19,-1.33,1.34
0.47052907943725586,-0.04,-0.1,-1.1,1.1
0.4800419807434082,0.13,-0.14,-0.77,0.79
0.4902491569519043,0.18,-0.32,-0.45,0.58
0.500298023223877,0.07,-0.44,-0.17,0.47
0.5103490352630615,0.02,-0.38,-0.05,0.38
0.5261149406433105,0.03,-0.29,0.12,0.31
0.5292561054229736,-0.04,-0.23,0.23,0.32
0.5399489402770996,-0.02,-0.16,0.2,0.25
0.549915075302124,0.11,-0.04,0.12,0.16
0.5596580505371094,0.23,0.11,-0.02,0.25
0.5707240104675293,0.33,0.26,-0.19,0.46
0.5801510810852051,0.35,0.29,-0.28,0.53
0.5897111892700195,0.25,0.16,-0.21,0.36
0.5992622375488281,0.12,0.05,-0.04,0.13
0.6098730564117432,-0.03,0.02,0.15,0.15
0.6271672248840332,-0.16,-0.07,0.38,0.41
0.6292431354522705,-0.16,-0.22,0.64,0.69
0.6393520832061768,-0.19,-0.32,0.85,0.92
0.649806022644043,-0.21,-0.24,0.91,0.96
0.6598970890045166,-0.18,-0.07,0.8,0.82
0.680549144744873,-0.1,0.13,0.64,0.66
0.6817591190338135,0.05,0.32,0.46,0.56
0.689359188079834,0.33,0.55,0.24,0.68
0.6991660594940186,0.55,0.74,-0.03,0.92
0.7089791297912598,0.68,0.73,-0.33,1.05
0.720332145690918,0.79,0.47,-0.43,1.01
0.7325780391693115,0.61,0.03,-0.4,0.73
0.7388970851898193,-0.07,-0.44,-0.38,0.58
0.7494039535522461,-0.92,-0.75,-0.42,1.25
0.7596979141235352,-1.25,-0.86,-0.38,1.56
0.7692270278930664,-0.9,-0.64,-0.2,1.12
0.7800650596618652,-0.21,-0.13,-0.17,0.29
0.7899410724639893,0.58,0.26,-0.21,0.66
0.7987730503082275,1.17,0.5,-0.08,1.27
0.8084602355957031,1.36,0.63,0.17,1.5
0.8183560371398926,1.35,0.49,0.38,1.48
0.8284640312194824,0.94,0.1,0.35,1.0
0.8383779525756836,0.21,-0.35,0.19,0.45
0.8485469818115234,-0.48,-0.74,0.0,0.88
0.858644962310791,-0.85,-0.97,-0.4,1.35
0.8682031631469727,-0.49,-0.74,-0.79,1.18
0.8784880638122559,0.39,-0.44,-1.02,1.17
0.8883919715881348,1.27,-0.1,-0.84,1.52
0.8982980251312256,1.78,0.36,-0.45,1.87
0.9082531929016113,2.0,0.76,-0.3,2.16
0.9179282188415527,2.07,0.83,-0.22,2.24
0.9284329414367676,1.95,0.61,0.0,2.04
0.9381542205810547,1.69,0.22,0.25,1.72
0.9485421180725098,1.25,-0.05,0.67,1.41
0.9582600593566895,0.74,-0.22,1.29,1.5
0.9680440425872803,0.28,-0.4,1.79,1.85
0.9780511856079102,0.02,-0.5,2.0,2.06
0.9878849983215332,-0.03,-0.49,1.99,2.04
0.9979162216186523,-0.07,-0.39,1.83,1.87
1.0079731941223145,-0.22,-0.36,1.62,1.67
1.017725944519043,-0.18,-0.35,1.35,1.4
1.0283679962158203,-0.14,-0.24,0.91,0.95
1.0383071899414062,-0.19,-0.2,0.61,0.66
1.0486690998077393,-0.11,-0.32,0.49,0.59
1.0580792427062988,-0.13,-0.51,0.45,0.69
1.0676140785217285,-0.41,-0.55,0.36,0.77
1.0796220302581787,-0.75,-0.43,0.22,0.89
1.0915732383728027,-0.8,-0.28,0.01,0.84
1.0990872383117676,-0.67,-0.22,-0.14,0.71
1.1093671321868896,-0.62,-0.21,-0.24,0.69
1.1180341243743896,-0.69,-0.2,-0.29,0.77
1.1294150352478027,-0.84,-0.32,-0.29,0.94
1.138991117477417,-0.99,-0.45,-0.23,1.11
1.1482391357421875,-1.12,-0.45,-0.09,1.21
1.15773606300354,-1.18,-0.45,0.05,1.26
1.1677441596984863,-1.06,-0.45,0.19,1.16
1.177746057510376,-0.84,-0.23,0.31,0.92
1.190101146697998,-0.68,0.16,0.25,0.74
1.1980061531066895,-0.56,0.34,0.19,0.68
1.2081432342529297,-0.51,0.44,0.26,0.72
1.2176120281219482,-0.51,0.55,0.31,0.81
1.2301712036132812,-0.48,0.45,0.25,0.7
1.2373619079589844,-0.54,0.31,0.29,0.68
1.2481679916381836,-0.58,0.22,0.33,0.7
1.2575621604919434,-0.65,0.11,0.2,0.68
1.2681159973144531,-0.68,0.06,-0.02,0.68
1.2780141830444336,-0.62,0.14,-0.29,0.69
1.2884540557861328,-0.54,0.27,-0.46,0.75
1.2986469268798828,-0.47,0.32,-0.55,0.79
1.307878017425537,-0.33,0.32,-0.68,0.82
1.3188471794128418,-0.19,0.39,-0.81,0.91
1.3299050331115723,-0.13,0.4,-0.83,0.93
1.3374741077423096,-0.24,0.28,-0.77,0.85
1.3477931022644043,-0.5,0.16,-0.7,0.87
1.3574481010437012,-0.68,0.08,-0.6,0.91
1.3675460815429688,-0.67,0.03,-0.48,0.82
1.3773231506347656,-0.54,0.06,-0.32,0.63
1.387439250946045,-0.32,0.16,-0.14,0.38
1.397292137145996,-0.02,0.34,-0.12,0.36
1.4073619842529297,0.35,0.52,-0.29,0.69
1.4169979095458984,0.53,0.58,-0.36,0.86
1.4304640293121338,0.59,0.56,-0.39,0.9
1.4367132186889648,0.6,0.46,-0.44,0.87
1.4478421211242676,0.54,0.21,-0.44,0.72
1.4569411277770996,0.42,-0.08,-0.44,0.61
1.467212200164795,0.29,-0.25,-0.44,0.58
1.4771480560302734,0.2,-0.33,-0.46,0.6
1.4867229461669922,0.2,-0.41,-0.46,0.64
1.4973559379577637,0.19,-0.48,-0.47,0.69
1.5075159072875977,0.09,-0.47,-0.36,0.59
1.5168662071228027,0.07,-0.4,-0.21,0.45
1.5315160751342773,0.09,-0.3,-0.13,0.33
1.536372184753418,0.11,-0.27,-0.05,0.29
1.5468790531158447,0.1,-0.28,0.02,0.29
1.5567960739135742,0.06,-0.19,-0.06,0.2
1.56687593460083,0.01,-0.13,-0.2,0.23
1.5765771865844727,-0.02,-0.22,-0.18,0.28
1.5865440368652344,-0.02,-0.29,-0.12,0.31
1.5970790386199951,-0.03,-0.3,-0.14,0.33
1.607706069946289,-0.07,-0.3,-0.12,0.33
1.6164212226867676,-0.06,-0.25,-0.09,0.27
1.6336369514465332,-0.03,-0.18,-0.02,0.18
1.6361021995544434,0.14,-0.09,0.09,0.18
1.6469359397888184,0.31,0.03,0.11,0.33
1.6573162078857422,0.44,0.18,0.01,0.47
1.6667821407318115,0.5,0.26,-0.12,0.57
1.6764321327209473,0.48,0.18,-0.15,0.53
1.686155080795288,0.43,0.04,-0.19,0.47
1.696303129196167,0.29,-0.13,-0.24,0.39
1.708008050918579,0.12,-0.24,-0.3,0.4
1.716123104095459,0.06,-0.28,-0.4,0.49
1.7321529388427734,0.08,-0.28,-0.39,0.48
1.7359590530395508,0.21,-0.19,-0.32,0.42
1.7465510368347168,0.27,-0.04,-0.22,0.35
1.7577540874481201,0.33,0.08,-0.19,0.38
1.766280174255371,0.55,0.15,-0.17,0.59
1.776435136795044,0.59,0.14,-0.14,0.62
1.7859139442443848,0.45,0.08,-0.22,0.5
1.7964770793914795,0.22,-0.03,-0.28,0.35
1.8065741062164307,0.02,-0.18,-0.27,0.32
1.81575608253479,-0.1,-0.22,-0.32,0.4
1.835042953491211,-0.17,-0.24,-0.39,0.48
1.83634614944458,-0.21,-0.25,-0.56,0.64
1.846127986907959,-0.31,-0.24,-0.72,0.81
1.8558180332183838,-0.33,-0.27,-0.71,0.82
1.8660931587219238,-0.26,-0.22,-0.58,0.67
1.8760490417480469,-0.18,-0.12,-0.35,0.41
1.8862519264221191,-0.1,-0.05,-0.12,0.16
1.8957180976867676,0.0,-0.06,0.05,0.07
1.9062230587005615,0.2,-0.08,0.12,0.24
1.9155631065368652,0.32,-0.2,0.13,0.39
1.9363279342651367,0.39,-0.54,0.16,0.68
1.9375250339508057,0.32,-1.31,0.14,1.35
1.945566177368164,0.01,-1.81,0.11,1.81
1.9552631378173828,-0.01,-1.76,0.01,1.76
1.965609073638916,0.02,-1.88,-0.45,1.93
1.975560188293457,0.19,-2.08,-1.12,2.37
1.9856982231140137,0.52,-2.57,-2.02,3.3
1.9956281185150146,-0.32,-4.52,-3.13,5.5
2.005263090133667,-1.65,-6.74,-3.7,7.86
2.0154170989990234,-1.59,-6.55,-3.25,7.48
2.0357441902160645,-1.58,-7.05,-3.7,8.11
2.0370192527770996,-1.8,-8.17,-5.09,9.79
2.044706106185913,-1.98,-8.27,-5.08,9.9
2.0554609298706055,-2.13,-8.28,-4.86,9.83
2.0654759407043457,-2.28,-8.32,-4.75,9.84
2.0750880241394043,-2.42,-8.37,-4.59,9.84
2.085322141647339,-2.56,-8.41,-4.42,9.83
2.0956192016601562,-2.69,-8.45,-4.25,9.83
2.1052510738372803,-2.82,-8.48,-4.1,9.83
2.1155130863189697,-2.93,-8.52,-3.93,9.82
2.1382689476013184,-3.04,-8.56,-3.77,9.83
2.1393990516662598,-3.14,-8.59,-3.61,9.83
2.1444950103759766,-3.23,-8.62,-3.43,9.82
2.15523624420166,-3.31,-8.66,-3.25,9.82
2.165316104888916,-3.38,-8.69,-3.08,9.81
2.175978183746338,-3.46,-8.72,-2.91,9.82
2.1850242614746094,-3.52,-8.75,-2.73,9.81
2.1949172019958496,-3.57,-8.78,-2.56,9.81
2.2051150798797607,-3.6,-8.81,-2.39,9.81
2.2147631645202637,-3.65,-8.84,-2.23,9.82
2.236966133117676,-3.68,-8.86,-2.06,9.81
2.2381601333618164,-3.7,-8.89,-1.9,9.81
2.244126081466675,-3.73,-8.91,-1.74,9.81
2.2546591758728027,-3.73,-8.93,-1.58,9.8
2.2647619247436523,-3.74,-8.96,-1.42,9.81
2.276134967803955,-3.74,-8.97,-1.28,9.8
2.2848880290985107,-3.72,-8.99,-1.13,9.79
2.295114040374756,-3.71,-9.01,-0.98,9.79
2.3048901557922363,-3.7,-9.04,-0.83,9.8
2.314455986022949,-3.67,-9.06,-0.69,9.79
2.3247132301330566,-3.64,-9.08,-0.55,9.79
2.3400161266326904,-3.61,-9.1,-0.42,9.79
2.343780994415283,-2.76,-7.7,-0.49,8.19
2.3548130989074707,0.12,-1.24,-0.31,1.28
2.3644251823425293,25.49,46.36,1.66,52.93
2.3744192123413086,66.28,71.37,3.12,97.44
2.384079933166504,55.5,68.67,-1.85,88.31
2.3942999839782715,19.73,56.45,-2.13,59.83
2.4044032096862793,2.96,9.86,-0.19,10.29
