time,ax,ay,az,atotal
0.007819175720214844,0.05,0.03,-0.3,0.3
0.011853218078613281,0.23,0.16,-0.48,0.55
0.022050142288208008,0.49,0.2,-0.86,1.0
0.031893253326416016,0.55,0.34,-1.11,1.28
0.042269229888916016,0.36,0.57,-0.99,1.19
0.07039117813110352,0.12,0.71,-0.63,0.95
0.07117033004760742,-0.02,0.58,-0.18,0.6
0.07193422317504883,-0.03,0.27,0.36,0.45
0.08183908462524414,-0.02,0.03,0.87,0.87
0.09198212623596191,0.05,-0.03,1.2,1.2
0.10198116302490234,0.18,-0.06,1.17,1.18
0.11177420616149902,0.34,-0.1,0.82,0.89
0.1226201057434082,0.46,-0.07,0.29,0.54
0.13250732421875,0.52,0.03,-0.31,0.6
0.14279699325561523,0.63,0.23,-0.83,1.06
0.1703343391418457,0.62,0.46,-1.08,1.32
0.17112421989440918,0.43,0.47,-0.95,1.14
0.17188501358032227,0.12,0.19,-0.54,0.58
0.18111705780029297,-0.11,-0.16,-0.12,0.22
0.19112515449523926,-0.28,-0.51,0.12,0.59
0.20270109176635742,-0.32,-0.84,0.13,0.9
0.21140122413635254,-0.04,-0.89,-0.04,0.89
0.22151613235473633,-0.1,-0.62,0.0,0.62
0.2315373420715332,-0.2,-0.29,-0.04,0.35
0.24202203750610352,-0.01,-0.05,-0.08,0.09
0.27094602584838867,0.26,0.09,-0.05,0.27
0.2716660499572754,0.43,0.11,-0.05,0.44
0.27244114875793457,0.57,0.12,-0.13,0.59
0.28092312812805176,0.67,0.14,-0.26,0.73
0.29164600372314453,0.57,0.12,-0.2,0.61
0.3027632236480713,0.35,0.12,0.08,0.37
0.31174612045288086,0.24,0.07,0.41,0.48
0.32149314880371094,0.19,-0.14,0.63,0.67
0.3315432071685791,0.14,-0.49,0.75,0.9
0.3417041301727295,0.2,-0.79,0.8,1.14
0.3514699935913086,0.42,-0.89,0.68,1.19
0.37352514266967773,0.56,-0.62,0.45,0.94
0.37432122230529785,0.51,-0.17,0.15,0.55
0.3805522918701172,0.34,0.15,-0.16,0.4
0.39065122604370117,-0.11,0.3,-0.39,0.5
0.40115833282470703,-0.82,0.52,-0.42,1.05
0.410825252532959,-0.95,0.72,-0.35,1.24
0.4207041263580322,-0.06,0.73,-0.3,0.79
0.43105411529541016,1.09,0.51,-0.18,1.21
0.4413590431213379,1.46,0.23,0.24,1.49
0.4510512351989746,0.55,0.06,0.8,0.97
0.4740111827850342,-0.73,-0.19,1.04,1.28
0.4746711254119873,-1.31,-0.42,0.83,1.6
0.4802103042602539,-1.52,-0.57,0.38,1.66
0.4902501106262207,-1.56,-0.53,0.09,1.65
0.5001041889190674,-1.04,-0.23,-0.19,1.08
0.5111880302429199,-0.2,0.14,-0.41,0.47
0.5206501483917236,0.65,0.5,-0.46,0.94
0.5308423042297363,1.11,0.74,-0.41,1.39
0.5410642623901367,1.27,0.8,-0.41,1.55
