time,ax,ay,az,atotal
0.007913827896118164,0.7,0.55,-1.52,1.76
0.013476848602294922,0.37,0.54,-1.13,1.3
0.023831844329833984,0.12,0.41,-0.71,0.82
0.05214285850524902,0.18,0.29,-0.51,0.61
0.052969932556152344,0.29,0.32,-0.32,0.53
0.0536198616027832,0.18,0.38,0.05,0.42
0.06316375732421875,0.12,0.39,0.52,0.66
0.07321286201477051,0.34,0.38,0.78,0.93
0.0836939811706543,0.63,0.33,0.7,0.99
0.09380888938903809,0.74,0.21,0.38,0.85
0.10347270965576172,0.53,-0.06,0.06,0.53
0.11365604400634766,0.19,-0.66,-0.27,0.73
0.12427186965942383,-0.04,-1.3,-0.61,1.43
0.1551837921142578,0.23,-0.94,-0.45,1.06
0.15599775314331055,0.91,-0.45,-0.35,1.07
0.15676093101501465,1.19,-0.08,-0.14,1.2
0.16286802291870117,0.75,0.24,0.25,0.82
0.17291688919067383,0.63,0.49,0.25,0.83
0.1832127571105957,0.66,0.49,0.13,0.83
0.19363689422607422,0.28,0.35,0.06,0.45
0.2034919261932373,-0.13,0.21,-0.1,0.26
0.21346592903137207,-0.93,0.1,-0.13,0.94
0.22388982772827148,-1.92,0.01,-0.03,1.92
0.2535877227783203,-2.28,-0.23,-0.05,2.29
0.25437498092651367,-1.68,-0.81,-0.26,1.88
0.2551229000091553,-1.31,-1.45,-0.49,2.01
0.2628450393676758,-1.07,-1.47,-0.7,1.94
0.2734060287475586,-0.11,-0.53,-0.74,0.91
0.2834949493408203,0.76,0.12,-0.97,1.23
0.29387688636779785,1.43,0.52,-1.05,1.84
0.30341005325317383,1.75,0.83,-0.78,2.08
0.31369781494140625,1.4,1.04,-0.47,1.8
0.32368993759155273,1.02,1.2,-0.54,1.66
0.35741686820983887,0.88,1.15,-0.62,1.57
0.3581998348236084,0.76,0.82,-0.42,1.19
0.3589487075805664,0.51,0.33,-0.22,0.64
0.36235475540161133,0.08,-0.06,0.0,0.1
0.3730649948120117,-0.39,-0.26,0.27,0.54
0.38267087936401367,-0.68,-0.32,0.56,0.93
0.393204927444458,-0.68,-0.35,0.79,1.09
0.40320396423339844,-0.59,-0.39,0.99,1.21
0.4133739471435547,-0.34,-0.26,1.07,1.15
0.42331886291503906,0.08,-0.01,0.83,0.83
0.4561018943786621,0.31,0.03,0.62,0.69
0.4568977355957031,0.44,-0.02,0.56,0.71
0.4575839042663574,0.54,-0.03,0.56,0.77
0.46188974380493164,0.48,-0.06,0.61,0.77
0.47210693359375,0.23,-0.07,0.78,0.81
0.4826369285583496,0.01,-0.14,0.85,0.86
0.49287986755371094,-0.12,-0.29,0.91,0.96
0.5035519599914551,-0.17,-0.51,0.66,0.85
0.5126910209655762,-0.19,-0.6,0.4,0.74
0.522960901260376,-0.14,-0.52,0.11,0.54
0.554893970489502,-0.1,-0.4,-0.19,0.45
0.5556838512420654,-0.12,-0.31,-0.36,0.49
0.5564379692077637,-0.05,-0.19,-0.4,0.44
0.5617589950561523,0.19,0.06,-0.48,0.51
0.5716757774353027,0.34,0.21,-0.49,0.63
0.5815768241882324,0.41,0.31,-0.49,0.71
0.5921249389648438,0.4,0.38,-0.44,0.7
0.6018209457397461,0.29,0.38,-0.33,0.58
0.6124420166015625,0.23,0.36,-0.25,0.49
0.6222248077392578,0.13,0.32,-0.18,0.38
0.6562309265136719,0.03,0.26,-0.11,0.28
